video_name,action_class_00,action_class_01,action_class_02,action_class_03,action_class_04,action_class_05,action_class_06,action_class_07,action_class_08,action_class_09,action_class_10,action_class_11,action_class_12,action_class_13,action_class_14,action_class_15,action_class_16,action_class_17,action_class_18,action_class_19,action_class_20,action_class_21,action_class_22,action_class_23,action_class_24,action_class_25,action_class_26,action_class_27,action_class_28,action_class_29,action_class_30,action_class_31,action_class_32,action_class_33,action_class_34,action_class_35,action_class_36,action_class_37,action_class_38,action_class_39,action_class_40,action_class_41,action_class_42,action_class_43,action_class_44,action_class_45,action_class_46,action_class_47,action_class_48,action_class_49,action_class_50,action_class_51
625_t1_20240508,0.0,0.0,0.0,0.0,0.02156774705538384,0.01649298304235235,0.0,0.0,0.053285022136830666,0.29941107676885803,0.14716815637791328,0.001268691003257873,0.002537382006515746,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13828731935510816,0.001268691003257873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.319710132820984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
634_t1_20240515,0.0,0.0,0.0,0.0,0.0,0.041530054644808745,0.0,0.0,0.022950819672131147,0.11584699453551911,0.7366120218579234,0.001092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001092896174863388,0.017486338797814208,0.001092896174863388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06229508196721311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
637_t1_20240426,0.0,0.0,0.0,0.0,0.008379888268156423,0.03910614525139664,0.0,0.0,0.23743016759776533,0.08379888268156424,0.2206703910614525,0.0,0.0027932960893854745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027932960893854745,0.22625698324022345,0.005586592178770949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12011173184357542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05307262569832402,0.0
640_t1_20240527,0.0,0.0,0.0,0.0,0.0,0.008645533141210374,0.0,0.0,0.21613832853025938,0.07204610951008646,0.3631123919308357,0.011527377521613834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16138328530259366,0.037463976945244955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12968299711815562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
641_t1_20240531,0.0,0.0,0.0,0.0,0.01350583585499907,0.031513616994997835,0.0,0.0,0.0,0.0,0.0015006484283332303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015006484283332303,0.3331439510899771,0.08853825727166058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1590687334033224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3721608102266411,0.0
655_t1_20240528,0.0,0.0,0.0,0.0,0.0,0.013642975628429246,0.0,0.0,0.002480541023350772,0.12030623963251244,0.446497384203139,0.0037208115350261576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04713027944366467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36712007145591424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
663_t1_20240529,0.0,0.0,0.0,0.0,0.08368760183676491,0.0008998666864168271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04859280106650866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01799733372833654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8494741519774848,0.0
664_t1_20240517,0.0,0.0,0.0,0.0,0.001652892561983471,0.013223140495867768,0.0,0.0,0.01818181818181818,0.08099173553719008,0.34049586776859503,0.01652892561983471,0.004958677685950413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001652892561983471,0.36694214876033054,0.006611570247933884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1256198347107438,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023140495867768594,0.0
666_t1_20240604,0.0,0.0,0.0,0.0,0.0066050198150594455,0.052840158520475564,0.001321003963011889,0.011889035667107,0.08190224570673713,0.07397622192866578,0.1690885072655218,0.007926023778071334,0.011889035667107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002642007926023778,0.11756935270805813,0.005284015852047556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44914134742404227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007926023778071334,0.0
673_t1_20240514,0.0,0.0,0.0,0.0,0.007717750826901874,0.011025358324145536,0.0,0.0,0.024255788313120176,0.08599779492833516,0.14332965821389196,0.0,0.0011025358324145535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.360529217199559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3649393605292172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011025358324145535,0.0
674_t1_20240506,0.0,0.0,0.0,0.0,0.0019047619047619048,0.0038095238095238095,0.0,0.0,0.022857142857142854,0.10857142857142857,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4609523809523809,0.0019047619047619048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11428571428571428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
683_t1_20240611,0.0,0.0,0.0,0.0,0.004616656059123595,0.0,0.0,0.0,0.04847488862079775,0.0946414492120337,0.4547406218236741,0.0023083280295617976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2700743794587303,0.0023083280295617976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12464971359633707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
691_t1_20240517,0.0,0.0,0.0,0.0,0.0,0.0031999999999999997,0.0,0.0,0.012799999999999999,0.0784,0.216,0.0031999999999999997,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2928,0.0048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
692_t1_20240611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013363028953229397,0.031180400890868595,0.6837416481069042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2026726057906459,0.013363028953229397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05567928730512249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
706_t1_20240613,0.0,0.0,0.0,0.0,0.0,0.0323415040622179,0.0,0.0,0.1603013679605583,0.06608916047496702,0.3557565446843969,0.0,0.004218457051593639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18701826262065135,0.004218457051593639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19123671967224498,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
720_t1_20240626,0.0,0.0,0.0,0.0,0.0051813471502590676,0.0077720207253886,0.0,0.0,0.02590673575129534,0.0621761658031088,0.27461139896373055,0.0025906735751295338,0.0025906735751295338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3082901554404145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14248704663212436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1683937823834197,0.0
726_t1_20240709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12793733681462138,0.04960835509138381,0.6344647519582245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0939947780678851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07310704960835508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020887728459530023,0.0
