video_name,action_class_00,action_class_01,action_class_02,action_class_03,action_class_04,action_class_05,action_class_06,action_class_07,action_class_08,action_class_09,action_class_10,action_class_11,action_class_12,action_class_13,action_class_14,action_class_15,action_class_16,action_class_17,action_class_18,action_class_19,action_class_20,action_class_21,action_class_22,action_class_23,action_class_24,action_class_25,action_class_26,action_class_27,action_class_28,action_class_29,action_class_30,action_class_31,action_class_32,action_class_33,action_class_34,action_class_35,action_class_36,action_class_37,action_class_38,action_class_39,action_class_40,action_class_41,action_class_42,action_class_43,action_class_44,action_class_45,action_class_46,action_class_47,action_class_48,action_class_49,action_class_50,action_class_51
124_t1_20230202,0,0,0,0,1,24,1,0,6,20,266,0,1,0,0,0,0,0,0,0,0,0,434,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,0,111,0
125_t1_20230201,0,0,0,0,1,2,0,0,34,14,180,1,0,0,0,0,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184,0,0,0,0,0,0,0,0,0,0,0,0
129_t1_20230315,0,0,0,0,0,8,0,0,157,149,121,12,1,0,0,0,0,0,0,0,0,0,82,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,1,0,3,0
130_t1_20230310,0,0,0,0,3,2,0,0,19,47,106,0,1,0,0,0,0,0,0,0,0,0,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,2,0
131_t1_20230315,0,0,0,0,2,3,0,0,28,42,92,2,1,0,0,0,0,0,0,0,0,0,119,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,0,0,0,0,0,0,0,0,0,7,0
132_t1_20230320,0,0,0,0,2,4,0,0,92,22,73,0,2,0,0,0,0,0,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,242,0,0,0,0,0,0,0,0,0,0,4,0
134_t1_20230316,1,0,0,0,3,42,1,0,303,17,362,0,13,0,0,0,0,0,0,0,0,0,42,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,248,0,0,0,0,0,0,0,0,1,0,6,0
135_t1_OBS_20230321,0,0,0,0,0,5,0,0,46,47,72,2,1,0,0,0,0,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,0,0,0,0,0,0,0,0,0,0,0,0
136_t1_20230328,0,0,0,0,2,42,3,0,47,9,46,0,2,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243,0,0,0,0,0,0,0,0,0,0,0,0
137_t1_OBS_20230329,0,0,0,0,6,7,0,0,30,37,47,0,1,0,0,0,0,0,0,0,0,0,330,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,0,0,0,0,0,0,0,0,0,0,9,0
139_t1_20230621,0,0,0,0,7,61,2,0,0,61,2,0,2,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0
140_t1_20230711,0,0,0,0,0,6,0,0,34,10,310,0,3,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,1,0,4,0
141_t1_OBS_20230404,0,0,0,0,1,9,0,0,171,16,217,0,3,0,0,0,0,0,0,0,0,0,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,27,0
142_t1_20230419,0,0,0,0,3,17,0,0,137,79,82,0,1,0,0,0,0,0,0,0,0,0,305,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,23,0
144_t1_20230412,0,0,0,0,1,16,0,0,8,152,189,2,9,0,0,0,0,0,0,0,0,0,84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,181,0,0,0,0,0,0,0,0,0,0,0,0
147_t1_20230427,0,0,0,0,6,44,0,0,111,228,118,7,2,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,1,0
148_t1_2023-06-23,0,0,0,0,1,14,4,0,15,94,192,0,3,0,0,0,0,0,0,0,0,0,13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,1,0
151_t1_20230515,0,0,0,0,1,8,0,0,121,37,281,0,0,0,0,0,0,0,0,0,0,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,24,0
155_t1_20230502,0,0,0,0,2,12,2,0,63,12,235,4,2,0,0,0,0,0,0,0,0,0,192,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,306,0,0,0,0,0,0,0,0,0,0,2,0
